,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,category_two_defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,processing_method_Other,processing_method_Pulped natural / honey,processing_method_Semi-washed / Semi-pulped,processing_method_Washed / Wet,region
57,Guatemala,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,8.0,85.83,0.12,0,3,1524.0,1524.0,1524.0,0,0,0,1,central_america_carib
58,Guatemala,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,8.0,85.83,0.1,0,1,1417.32,1417.32,1417.32,0,0,0,1,central_america_carib
61,Papua New Guinea,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,7.92,85.75,0.12,0,1,1700.0,1700.0,1700.0,0,0,0,1,southeast_asia
62,El Salvador,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,8.0,85.58,0.1,0,3,1500.0,1500.0,1500.0,0,0,0,1,central_america_carib
63,El Salvador,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,7.92,85.58,0.11,0,0,1300.0,1400.0,1350.0,0,0,1,0,central_america_carib
65,Panama,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,7.83,85.5,0.09,2,2,1680.0,1680.0,1680.0,0,0,0,0,south_america
66,Kenya,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,8.0,85.5,0.1,0,3,1900.0,1900.0,1900.0,0,0,0,0,africa
67,Ethiopia,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,8.0,85.5,0.12,0,7,1800.0,2000.0,1900.0,0,0,0,0,africa
68,Uganda,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,8.08,85.5,0.12,0,1,1600.0,1600.0,1600.0,0,0,0,1,africa
70,Guatemala,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,7.83,85.5,0.11,0,1,1706.88,1755.648,1731.264,0,0,0,1,central_america_carib
71,Ethiopia,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,8.08,85.42,0.1,0,18,1800.0,2000.0,1900.0,0,0,0,1,africa
72,Uganda,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,8.0,85.42,0.12,0,5,1950.0,1950.0,1950.0,0,0,0,1,africa
74,Brazil,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,8.0,85.42,0.11,0,1,1250.0,1250.0,1250.0,0,0,1,0,south_america
76,China,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,7.92,85.33,0.1,0,0,1700.0,1700.0,1700.0,0,0,0,0,asia
77,Guatemala,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,7.83,85.33,0.11,0,1,1770.0,1770.0,1770.0,0,0,0,0,central_america_carib
78,Costa Rica,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,8.0,85.33,0.0,0,0,1300.0,1300.0,1300.0,0,0,0,1,central_america_carib
79,Costa Rica,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,7.92,85.33,0.1,0,2,1300.0,1300.0,1300.0,0,0,0,1,central_america_carib
80,Kenya,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,7.92,85.33,0.0,0,2,1600.0,1600.0,1600.0,0,0,0,1,africa
81,Kenya,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,7.83,85.33,0.0,0,6,1200.0,1200.0,1200.0,0,0,0,1,africa
84,Colombia,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,7.92,85.25,0.11,0,0,1550.0,1550.0,1550.0,0,0,0,1,south_america
85,Colombia,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,7.92,85.25,0.12,0,2,1550.0,1550.0,1550.0,0,0,0,0,south_america
86,Indonesia,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,8.0,85.17,0.11,0,3,1250.0,1400.0,1325.0,0,0,1,0,southeast_asia
87,Guatemala,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,7.92,85.17,0.0,0,7,1400.0,1400.0,1400.0,0,0,0,1,central_america_carib
89,Colombia,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,7.67,85.08,0.0,0,0,2560.0,2560.0,2560.0,0,0,0,0,south_america
90,Ethiopia,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,2,7,1700.0,1700.0,1700.0,0,0,0,0,africa
92,Colombia,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,0,8,2136.0,2136.0,2136.0,0,0,0,0,south_america
96,Uganda,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,0.11,0,1,1800.0,1800.0,1800.0,0,0,0,1,africa
98,Costa Rica,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,1,1,1900.0,1900.0,1900.0,0,0,0,1,central_america_carib
99,Mexico,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,0.09,0,3,1300.0,1300.0,1300.0,0,0,0,1,north_america
100,Kenya,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0,0.11,0,7,1.0,1.0,1.0,0,0,0,1,africa
101,Kenya,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,0.0,0,5,1580.0,1580.0,1580.0,0,0,0,1,africa
102,Brazil,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0.12,0,3,1100.0,1100.0,1100.0,0,0,0,0,south_america
107,Colombia,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0.12,0,1,1600.0,1950.0,1775.0,0,0,0,1,south_america
108,Taiwan,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0.11,0,0,800.0,800.0,800.0,0,0,1,0,asia
109,"Tanzania, United Republic Of",8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0.12,0,2,1620.0,1620.0,1620.0,0,0,0,1,africa
110,Colombia,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,0,3,1600.0,1950.0,1775.0,0,0,0,1,south_america
111,Mexico,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0.11,0,0,1200.0,1200.0,1200.0,0,0,1,0,north_america
112,Brazil,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,2,1200.0,1200.0,1200.0,0,0,0,0,south_america
